planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
2030,biomass CHP capture,FOM,3.03875,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,capture_rate,0.9,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,compression-electricity-input,0.102,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,compression-heat-output,0.1615,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,electricity-input,0.0271739,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,heat-input,0.785455,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,heat-output,0.785455,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,investment,8459360.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,biomass CHP capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2030,cement capture,FOM,3.293,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,capture_rate,0.938,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,compression-electricity-input,0.17,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,compression-heat-output,0.262,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,electricity-input,0.0257,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,heat-input,0.785,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,heat-output,1.613,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,investment,4622222.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,cement capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2030,direct air capture - solid,FOM,3.777,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,compression-electricity-input,0.2,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,compression-heat-output,0.29,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,electricity-input,0.345,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,heat-input,2.25,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,heat-output,0.69316,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,investment,5355000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - solid,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2030,direct air capture - liquid,FOM,3.81,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,compression-electricity-input,0.2,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,compression-heat-output,0.29,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,electricity-input,2.074,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
