country,Loading,Loading,Loading,Transport to plant,Transport to plant,Unloading,TOTAL,TOTAL,TOTAL
country,Time,Machinery costs,Waiting time truck driver,60 average speed km/h,Trailer,Waiting time truck driver,Fix,per km,per km/ton
country,h,EUR,EUR.1,EUR/km,EUR.2,EUR.3,EUR.4,EUR/km.1,EUR/km/ton
BE,0.05,3.06,0.88,1.49,16.57,0.88,21.39,0.02,0.88
BG,0.05,1.77,0.37,1.07,6.74,0.37,9.26,0.02,0.39
CZ,0.05,2.05,0.41,1.13,10.52,0.41,13.4,0.02,0.55
DK,0.05,4.24,1.7,1.89,20.4,1.7,28.04,0.03,1.15
DE,0.05,2.91,0.87,1.41,15.45,0.87,20.11,0.02,0.83
EE,0.05,2.01,0.33,1.13,10.67,0.33,13.34,0.02,0.55
IE,0.05,2.87,0.69,1.44,16.23,0.69,20.48,0.02,0.84
EL,0.05,2.47,0.57,1.28,13.34,0.57,16.95,0.02,0.7
ES,0.05,2.71,0.82,1.35,13.63,0.82,17.98,0.02,0.74
FR,0.05,3.02,0.91,1.42,16.74,0.91,21.56,0.02,0.89
IT,0.05,3.07,0.85,1.59,15.0,0.85,19.77,0.03,0.82
CY,0.05,2.46,0.57,1.28,13.12,0.57,16.71,0.02,0.69
LV,0.05,1.89,0.29,1.08,9.98,0.29,12.44,0.02,0.52
LT,0.05,1.78,0.26,1.04,9.01,0.26,11.3,0.02,0.47
LU,0.05,2.94,0.81,1.35,17.98,0.81,22.54,0.02,0.92
HU,0.05,1.88,0.28,1.14,8.59,0.28,11.03,0.02,0.46
MT,0.05,2.15,0.41,1.19,11.15,0.41,14.12,0.02,0.58
NL,0.05,3.23,1.05,1.55,16.42,1.05,21.76,0.03,0.9
AT,0.05,2.88,0.79,1.38,16.42,0.79,20.88,0.02,0.86
PL,0.05,1.96,0.46,1.1,8.64,0.46,11.51,0.02,0.48
PT,0.05,2.09,0.25,1.18,12.04,0.25,14.63,0.02,0.6
RO,0.05,1.66,0.27,1.01,7.23,0.27,9.43,0.02,0.39
SI,0.05,2.2,0.39,1.2,12.0,0.39,14.98,0.02,0.62
SK,0.05,1.99,0.32,1.15,10.13,0.32,12.77,0.02,0.53
FI,0.05,3.12,0.8,1.52,18.05,0.8,22.78,0.03,0.94
SE,0.05,3.35,0.85,1.62,19.89,0.85,24.93,0.03,1.02
UK,0.05,3.16,0.81,1.6,16.93,0.81,21.71,0.03,0.9
HR,0.05,1.89,0.31,1.07,9.77,0.31,12.28,0.02,0.51
AL,0.05,1.5,0.13,0.98,6.59,0.13,8.35,0.02,0.35
BA,0.05,1.5,0.15,0.93,7.25,0.15,9.05,0.02,0.38
MK,0.05,1.35,0.15,0.85,5.98,0.15,7.62,0.01,0.32
ME,0.05,1.54,0.16,0.96,7.31,0.16,9.17,0.02,0.38
RS,0.05,1.52,0.15,0.97,6.8,0.15,8.62,0.02,0.36
XK,0.05,1.46,0.14,0.91,7.25,0.14,8.99,0.02,0.37
UA,0.05,1.16,0.09,0.66,7.23,0.09,8.57,0.01,0.35
TR,0.05,2.07,0.35,1.26,8.88,0.35,11.63,0.02,0.49
MD,0.05,1.24,0.06,0.75,7.23,0.06,8.59,0.01,0.36
CH,0.05,3.37,0.79,1.52,22.97,0.79,27.92,0.03,1.14
